,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
294,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,0.0,2.14,298.0,,,100000.0,,none,,,,,,1.0,1740.0,6.46971753335951e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
295,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,0.0,2.14,298.0,,,100000.0,,none,,,,,,1.0,4500.0,1.3689841175604e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
296,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,1200.0,2.14,298.0,,,100000.0,,none,,,,,,1.0,2440.0,7.42293610410527e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
313,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,,,759.0,2117.0,2.14,298.0,,,100000.0,,none,,,,,,1.0,2418.0,6.45263858920281e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
345,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,4.006265,2.14,298.0,,,100000.0,,none,,,,,,1.0,1794.516,6.6724204764909e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,118.6763,2.14,298.0,,,100000.0,,none,,,,,,1.0,2088.031,7.7637763051139e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,248.4868,2.14,298.0,,,100000.0,,none,,,,,,1.0,2171.911,8.07566130896344e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,7.004888,2.14,298.0,,,100000.0,,none,,,,,,1.0,3792.69,1.15380719396225e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
349,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,63.15262,2.14,298.0,,,100000.0,,none,,,,,,1.0,3269.442,9.94625371396645e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,346.8306,2.14,298.0,,,100000.0,,none,,,,,,1.0,2612.795,7.94861079431382e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,2.793727,2.14,298.0,,,100000.0,,none,,,,,,1.0,2967.348,8.95353159159282e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,27.56215,2.14,298.0,,,100000.0,,none,,,,,,1.0,2726.003,8.22530892206671e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,,,759.0,186.2339,2.14,298.0,,,100000.0,,none,,,,,,1.0,2436.925,7.35305901897665e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,,,759.0,4.006265,2.14,298.0,,,100000.0,,none,,,,,,1.0,2211.754,5.58564465331359e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,,,759.0,29.09353,2.14,298.0,,,100000.0,,none,,,,,,1.0,2171.911,5.48502368013033e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,,,759.0,189.621,2.14,298.0,,,100000.0,,none,,,,,,1.0,2038.03,5.14691569351415e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
722,polymer,PEI,alumina,glassy,0.0,,,,,,0.0,,303.0,,,100000.0,,Ar,,,,,,1.0,,2.79304820598042e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
726,MMM,SAPO-34/PEI,alumina,zeolite/glassy,5.0,,1.0,,,,0.0,,303.0,,,100000.0,,Ar,,,,,,1.0,3.27067284536041,1.09449979931954e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
730,MMM,SAPO-34/PEI,alumina,zeolite/glassy,10.0,,,,,,0.0,,303.0,,,100000.0,,Ar,,,,,,1.0,,2.98875417697416e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,MMM,HOF-30/matrimid5218,none,HOF/glassy,10.0,,15.0,0.394,,,0.0,2.01,298.0,,,100000.0,50.0,N2,50.0,,,,,1.0,432.8,9.65549568426895e-09,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
769,CMS,CMS at 973 K,none,PEK-C,0.0,70.0,60.0,0.575,0.026,94.0,0.0,,303.0,10000.0,,,10.0,Ar,2.0,,,,,1.0,5262.0,2.9347977293567e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
773,CMS,CMS at 1073 K,none,PEK-C,0.0,70.0,60.0,0.575,0.029,106.0,0.0,,303.0,10000.0,,,10.0,Ar,2.0,,,,,1.0,3701.0,2.06417453370375e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
777,CMS,CMS at 1173 K,none,PEK-C,0.0,70.0,60.0,0.575,0.019,70.0,0.0,,303.0,10000.0,,,10.0,Ar,2.0,,,,,1.0,2919.0,1.6280263344721e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
799,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,200000.0,100000.0,100000.0,600.0,none,,,,,,1.0,3508.3151687789,3.9134152e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
800,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,323.0,200000.0,100000.0,100000.0,600.0,none,,,,,,1.0,3527.87833816727,3.9352373e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
801,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,353.0,200000.0,100000.0,100000.0,600.0,none,,,,,,1.0,3729.61186258627,4.1602647e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
811,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,600000.0,100000.0,500000.0,600.0,none,,,,,,1.0,3040.04154100789,3.3910707e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
812,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,323.0,600000.0,100000.0,500000.0,600.0,none,,,,,,1.0,3143.18205627139,3.5061207e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
813,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,353.0,600000.0,100000.0,500000.0,600.0,none,,,,,,1.0,3213.87925404572,3.5849812e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
814,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,400000.0,100000.0,300000.0,600.0,none,,,,,,1.0,3015.95175359501,3.3641993e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
821,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,300000.0,100000.0,200000.0,600.0,none,,,,,,1.0,3007.04840971593,3.3542679e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
822,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,500000.0,100000.0,400000.0,600.0,none,,,,,,1.0,3103.05667542417,3.4613621e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
823,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,,0.0,5.7,303.0,700000.0,100000.0,600000.0,600.0,none,,,,,,1.0,3469.92825022807,3.8705958e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
842,zeolite,M1,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,365.76558216,1.36e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
843,zeolite,GO size of 20-30,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,642.77922159,2.39e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
844,zeolite,GO size of 3-5,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.8,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1030.35925432,4.31e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
848,zeolite,M3,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,4303.124496,1.6e-06,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
849,zeolite,M4,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.5,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1225.195169,8.2e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
850,zeolite,M5,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1965.99000411,7.31e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
854,zeolite,ZnEG Content X=40,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.7,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1347.09030424156,6.43987223672678e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
855,zeolite,ZnEG Content X=80,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.8,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,583.314027332928,2.44000667462741e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
856,zeolite,ZnEG Content X=100,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,612.379359844075,2.27696636864982e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
857,zeolite,ZnEG Content X=150,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.0,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1152.42531139912,1.92824126975332e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
862,zeolite,reaction time = 0h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,1684.70179542601,6.26410617491372e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
863,zeolite,reaction time = 2h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,903.119662192159,3.3580052374749e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
864,zeolite,reaction time = 4h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,681.921211882415,2.53553886257783e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
865,zeolite,reaction time = 12h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,717.145940900762,2.66651245277199e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
870,zeolite,filtration time = 3s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.5,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,260.364490829804,1.74257039108876e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
871,zeolite,filtration time = 10s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,1.5,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,253.394380309016,5.65306919013797e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
872,zeolite,filtration time = 15s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.0,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,214.476667092492,3.58862962134001e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
873,zeolite,filtration time = 20s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.5,,,,0.0,,298.0,,,100000.0,,Ar,50.0,,,,,1.0,526.49060523011,7.04740448235786e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
879,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,373.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,8.71141712047853e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
880,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,423.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,1.53345379547843e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
881,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,473.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,3.0629884301443e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
895,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,4.52173698763042e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
896,zeolite,HybSi CVI for 4h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,3.23571760409864e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
897,zeolite,HybSi CVI for 8h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,1.6598068709839e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
898,zeolite,HybSi CVI for 12h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,none,,,,,,1.0,,1.05788004899141e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
912,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,2623.54822362934,1.25420807453416e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
913,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,2875.02331781974,1.37442774148639e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
914,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,3214.64764750309,1.53678785088352e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
915,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,3676.94745972611,1.7577939494654e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
916,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,4642.91205954108,2.2195810017827e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
917,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,298.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,5070.41270681934,2.42395108305502e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
930,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,2686.03830385576,1.284081953921e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
931,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,2943.1132252052,1.4069786627418e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
932,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,3096.35657429833,1.48023786341903e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
933,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,3578.63117460869,1.71079306816203e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
934,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,4210.38371369875,2.01280738926267e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
935,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,4503.73973862389,2.15304856793076e-07,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
951,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,848.173433034467,4.05476049091095e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
952,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,751.533506072439,3.59276564123941e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
953,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,646.431342423989,3.09031639669478e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
954,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,527.456475398785,2.52154759135827e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
955,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,375.77003004585,1.79639848662463e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
956,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,,,,1.0,305.445972703393,1.4602087426797e-08,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
20,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,1.0,191.0,1.27832694710862e-09,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
21,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,1.0,121.0,8.09830160210173e-10,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
22,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,1.0,66.0,4.41725541932822e-10,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
23,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,,,,,,,1.0,25.0,1.6732028103516e-10,,,,,,,,,,,,,,,,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
