,mean value,,NaN,doesn't exist or unknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value extracted from graphic,,none,doesn't exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,%wt,mm,mm,mm,nm,nm,cc/g,sqm/g,cm2,K,Pa,Pa,Pa,mL(STP)/min,,mL(STP)/min,%,days,,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,,,
,type,description,support_material,subtype,filler_loading,previous_thickness,min_thickness,max_thickness,min_pore_size,max_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
,polymer,IPI-0.75,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,56,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,13,8.70065461382831E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-1.00,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,41,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,2.2,1.47241847310941E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.25,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,411,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,37,2.47634015932036E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.50,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,219,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,22,1.47241847310941E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.75,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,63,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,14,9.36993573796894E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-1.00,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,53,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,4.8,3.21254939587507E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.25,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,367,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,35,2.34248393449224E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.50,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,83,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,8.5,5.68888955519543E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.75,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,56,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,2.6,1.74013092276566E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-1.00,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,41,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,1,0.46,3.07869317104694E-12,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.25,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,411,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,9,6.02353011726575E-11,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.50,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,219,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,5,3.34640562070319E-11,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.75,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,63,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,2.8,1.87398714759379E-11,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-1.00,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,53,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,0.9,6.02353011726575E-12,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.25,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,367,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,7.8,5.22039276829698E-11,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.50,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,83,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,1.5,1.00392168621096E-11,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.75,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,56,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,0.4,2.67712449656256E-12,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-1.00,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,41,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,0.06,4.01568674484383E-13,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.25,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,411,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,6,4.01568674484383E-11,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.50,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,219,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,3,2.00784337242192E-11,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
