,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
673,3,88,1,17,30.0,,,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,55.9,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,3,89,1,17,5.0,,,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,28.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,3,89,1,17,10.0,,,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,38.4,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
676,3,89,1,17,20.0,,,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,47.3,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,3,89,1,17,30.0,,,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,51.8,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,3,89,1,17,35.0,,,1.05,,,,308.0,,,500000.0,,0,,,0.0,260.0,55.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
689,3,89,1,17,30.0,,,1.05,,,,318.0,,,500000.0,,0,,,0.0,260.0,54.2274052478136,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,3,89,1,17,30.0,,,1.05,,,,328.0,,,500000.0,,0,,,0.0,260.0,58.1632653061227,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,3,89,1,17,30.0,,,1.05,,,,338.0,,,500000.0,,0,,,0.0,260.0,66.0349854227409,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,3,88,1,17,20.0,,,1.12,,,,318.0,,,500000.0,,0,,,0.0,260.0,52.4553571428571,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,3,88,1,17,20.0,,,1.12,,,,328.0,,,500000.0,,0,,,0.0,260.0,55.0595238095237,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,3,88,1,17,20.0,,,1.12,,,,338.0,,,500000.0,,0,,,0.0,260.0,58.0357142857143,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,3,89,1,17,30.0,,,1.05,,,,308.0,,,100000.0,,0,,,0.0,260.0,59.8240469208211,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,3,89,1,17,30.0,,,1.05,,,,308.0,,,200000.0,,0,,,0.0,260.0,58.9442815249266,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,3,89,1,17,30.0,,,1.05,,,,308.0,,,300000.0,,0,,,0.0,260.0,58.0645161290322,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,3,89,1,17,30.0,,,1.05,,,,308.0,,,400000.0,,0,,,0.0,260.0,52.7859237536656,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,3,88,1,17,20.0,,,1.12,,,,308.0,,,100000.0,,0,,,0.0,260.0,59.9850968703428,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
710,3,88,1,17,20.0,,,1.12,,,,308.0,,,200000.0,,0,,,0.0,260.0,60.7302533532042,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
711,3,88,1,17,20.0,,,1.12,,,,308.0,,,300000.0,,0,,,0.0,260.0,57.3770491803279,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
