type;description;support_material;subtype;filler_loadind;previous_thickness;min_thickness;max_thickness;min_pore_size;max_pore_size;pore_volume;specific_surface_area;surface_area;temperature;feed_pressure;permeate_pressure;delta_pressure;feed_flow_rate;sweep_gas;sweep_gas_flow;stage_cut;aging;x_He;P_He;P_He;x_H2;P_H2;P_H2;x_CO2;P_CO2;P_CO2;x_O2;P_O2;P_O2;x_H2S;P_H2S;P_H2S;x_N2;P_N2;P_N2;x_CO;P_CO;P_CO;x_CH4;P_CH4;P_CH4;x_C2H6;P_C2H6;P_C2H6;x_SF6;P_SF6;P_SF6;provided_data_type ;in_reference_data_location;reference;url
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;8.4;5.62E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;191;1.28E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;121;8.10E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;66;4.42E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;25;1.67E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;178;1.19E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;44;2.94E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;13;8.70E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;2.2;1.47E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;37;2.48E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;22;1.47E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;14;9.37E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;4.8;3.21E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;35;2.34E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;8.5;5.69E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;2.6;1.74E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;1;0.46;3.08E-12;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;9;6.02E-11;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;5;3.35E-11;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;2.8;1.87E-11;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.9;6.02E-12;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;7.8;5.22E-11;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;1.5;1.00E-11;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.4;2.68E-12;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
