,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,Py_He,Pe_He,Py_H2,Pe_H2,Py_CO2,Pe_CO2,Py_O2,Pe_O2,Py_H2S,Pe_H2S,Py_N2,Pe_N2,Py_CO,Pe_CO,Py_CH4,Pe_CH4,Py_C2H6,Pe_C2H6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
360,1,52,1,4,0.0,,110.0,,,759.0,7.024282,2.14,298.0,,,100000.0,,0,,,1494.707,4.54717809645855e-09,,,8427.223,2.56371876491993e-08,1589.161,4.83452482054755e-09,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,1,52,1,4,0.0,,110.0,,,759.0,62.81426,2.14,298.0,,,100000.0,,0,,,1377.378,4.19024134639357e-09,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,1,52,1,4,0.0,,110.0,,,759.0,571.8492,2.14,298.0,,,100000.0,,0,,,1218.425,3.70667660764117e-09,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,1,54,1,4,0.0,,110.9054,,,759.0,2.796417,2.14,298.0,,,100000.0,,0,,,1206.038,3.63904042723045e-09,,,7080.521,2.13644198315925e-08,1173.449,3.5407079630104e-09,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,1,54,1,4,0.0,,110.9054,,,759.0,27.59159,2.14,298.0,,,100000.0,,0,,,1157.736,3.49329632072959e-09,,,,,968.5745,2.92252960709739e-09,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,1,54,1,4,0.0,,110.9054,,,759.0,185.3366,2.14,298.0,,,100000.0,,0,,,1096.329,3.30800982435473e-09,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,1,55,1,4,0.0,,132.508,,,759.0,3.998911,2.14,298.0,,,100000.0,,0,,,921.5036,2.32719898159977e-09,,,5949.026,1.50238884022923e-08,877.9722,2.2172631878084e-09,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,1,55,1,4,0.0,,132.508,,,759.0,28.85321,2.14,298.0,,,100000.0,,0,,,930.9683,2.35110148203618e-09,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
368,1,55,1,4,0.0,,132.508,,,759.0,187.0013,2.14,298.0,,,100000.0,,0,,,890.644,2.24926501618436e-09,,,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
669,1,76,1,8,0.0,,,,,,0.0,,308.0,,,500000.0,,0,,,23.1,,,,,,,,,,,,,,0.18,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,3,88,1,17,5.0,,,1.12,,,0.0,,308.0,,,500000.0,,0,,,27.7,,,,,,,,,,,,,,0.18,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,3,88,1,17,10.0,,,1.12,,,0.0,,308.0,,,500000.0,,0,,,35.2,,,,,,,,,,,,,,0.19,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
672,3,88,1,17,20.0,,,1.12,,,0.0,,308.0,,,500000.0,,0,,,49.7,,,,,,,,,,,,,,0.22,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
673,3,88,1,17,30.0,,,1.12,,,0.0,,308.0,,,500000.0,,0,,,55.9,,,,,,,,,,,,,,0.27,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,3,89,1,17,5.0,,,1.05,,,0.0,,308.0,,,500000.0,,0,,,28.1,,,,,,,,,,,,,,0.18,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,3,89,1,17,10.0,,,1.05,,,0.0,,308.0,,,500000.0,,0,,,38.4,,,,,,,,,,,,,,0.21,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
