,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,Py_He,Pe_He,Py_H2,Pe_H2,Py_CO2,Pe_CO2,Py_O2,Pe_O2,Py_H2S,Pe_H2S,Py_N2,Pe_N2,Py_CO,Pe_CO,Py_CH4,Pe_CH4,Py_C2H6,Pe_C2H6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
730,3,91,6,18,10.0,,,,,,0.0,,303.0,,,100000.0,,340,,,,,,2.98875417697416e-09,,6.81292069057965e-10,,,,,,7.45674032861933e-11,,,,9.45127056558033e-11,,,,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,3,92,1,20,10.0,,15.0,0.394,,,0.0,2.01,298.0,,,100000.0,50.0,364,50.0,,,,432.8,9.65549568426895e-09,10.4784079131195,2.33766687576559e-10,,,,,,,,,4.6,1.02623105701565e-10,,,,,permeability,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
769,4,94,1,21,0.0,70.0,60.0,0.575,0.026,94.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,,,5262.0,2.9347977293567e-08,,,,,,,37.1,2.06919414213481e-10,70.5,3.93202660432625e-10,16.9,9.42570916498066e-11,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
773,4,95,1,21,0.0,70.0,60.0,0.575,0.029,106.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,,,3701.0,2.06417453370375e-08,,,,,,,21.2,1.18239665264846e-10,38.7,2.15843162535356e-10,7.7,4.29455387990243e-11,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
777,4,96,1,21,0.0,70.0,60.0,0.575,0.019,70.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,,,2919.0,1.6280263344721e-08,,,,,,,12.3,6.86013152244155e-11,26.3,1.46684113040823e-10,1.57,8.75642804084002e-12,,,,,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
799,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,200000.0,100000.0,100000.0,600.0,0,,,,,3508.3151687789,3.9134152e-07,6576.48722074984,7.3358646e-07,,,,,468.670142763636,5.227868e-08,,,107.372100314754,1.197702e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
800,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,323.0,200000.0,100000.0,100000.0,600.0,0,,,,,3527.87833816727,3.9352373e-07,6724.40703565142,7.50086450000001e-07,,,,,487.272998201979,5.435377e-08,,,120.002756843211,1.338593e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
801,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,353.0,200000.0,100000.0,100000.0,600.0,0,,,,,3729.61186258627,4.1602647e-07,5383.36536029797,6.0049747e-07,,,,,503.804885328195,5.619785e-08,,,134.119336049193,1.496059e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
811,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,600000.0,100000.0,500000.0,600.0,0,,,,,3040.04154100789,3.3910707e-07,4769.74097259792,5.320496e-07,,,,,438.993734325399,4.896837e-08,,,136.554994162356,1.523228e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
812,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,323.0,600000.0,100000.0,500000.0,600.0,0,,,,,3143.18205627139,3.5061207e-07,4959.06518245473,5.53168120000001e-07,,,,,448.867701723606,5.006978e-08,,,147.61061747685,1.64655e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
813,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,353.0,600000.0,100000.0,500000.0,600.0,0,,,,,3213.87925404572,3.5849812e-07,4511.74723308867,5.0327121e-07,,,,,485.208484576596,5.412348e-08,,,157.796651049444,1.760172e-08,,,,,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
814,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,400000.0,100000.0,300000.0,600.0,0,,,,,3015.95175359501,3.3641993e-07,5346.62806245236,5.9639954e-07,,,,,437.234832187659,4.877217e-08,,,136.564676192472,1.523336e-08,,,,,permeability,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
821,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,300000.0,100000.0,200000.0,600.0,0,,,,,3007.04840971593,3.3542679e-07,6551.4788059055,7.30796850000001e-07,,,,,463.866780044976,5.174288e-08,,,106.938291576501,1.192863e-08,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
822,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,500000.0,100000.0,400000.0,600.0,0,,,,,3103.05667542417,3.4613621e-07,5350.28957315632,5.9680797e-07,,,,,438.715644904845,4.893735e-08,,,138.285567397164,1.542532e-08,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
823,2,97,7,3,0.0,,3.0,0.372,,,0.0,5.7,303.0,700000.0,100000.0,600000.0,600.0,0,,,,,3469.92825022807,3.8705958e-07,4751.30961460043,5.2999364e-07,,,,,437.189739028878,4.876714e-08,,,137.273615953188,1.531244e-08,,,,,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
842,2,103,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,365.76558216,1.36e-07,,,,,,,32.9368644333053,1.22466786964391e-08,,,28.0118384673509,1.04154415214859e-08,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
843,2,104,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,642.77922159,2.39e-07,36.038667654,1.34e-08,,,,,,,,,,,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
844,2,105,8,23,0.0,,0.8,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1030.35925432,4.31e-07,88.45311464,3.7e-08,,,,,,,,,,,,,,,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
848,2,107,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,4303.124496,1.6e-06,712.70499465,2.65e-07,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
849,2,108,8,23,0.0,,0.5,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1225.195169,8.2e-07,143.13865511,9.58e-08,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
850,2,109,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1965.99000411,7.31e-07,169.43552703,6.3e-08,,,,,,,,,,,,,,,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
854,2,110,8,23,0.0,,0.7,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1347.09030424156,6.43987223672678e-07,111.22757619871,5.31732265955082e-08,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
855,2,111,8,23,0.0,,0.8,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,583.314027332928,2.44000667462741e-07,27.7572141875142,1.161086219652e-08,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
856,2,112,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,612.379359844075,2.27696636864982e-07,24.7648206378276,9.20812610868141e-09,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
857,2,113,8,23,0.0,,2.0,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1152.42531139912,1.92824126975332e-07,90.0495538698742,1.50671166605981e-08,,,,,,,,,,,,,,,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
862,2,114,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,1684.70179542601,6.26410617491372e-07,506.961247663457,1.88499774295522e-07,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
863,2,115,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,903.119662192159,3.3580052374749e-07,166.382412539019,6.18647822785255e-08,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
864,2,116,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,681.921211882415,2.53553886257783e-07,48.7520648210417,1.81271315264467e-08,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
865,2,117,8,23,0.0,,0.9,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,717.145940900762,2.66651245277199e-07,56.5798787369624,2.10376915804529e-08,,,,,,,,,,,,,,,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
870,2,118,8,23,0.0,,0.5,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,260.364490829804,1.74257039108876e-07,22.7019228721628,1.51939684600352e-08,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
871,2,119,8,23,0.0,,1.5,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,253.394380309016,5.65306919013797e-08,8.67379130496951,1.93506826505043e-09,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
872,2,120,8,23,0.0,,2.0,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,214.476667092492,3.58862962134001e-08,13.7158227902029,2.2949353238852e-09,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
873,2,121,8,23,0.0,,2.5,,,,0.0,,298.0,,,100000.0,,340,50.0,,,,526.49060523011,7.04740448235786e-08,42.0663111850851,5.63083760768074e-09,,,,,,,,,,,,,,,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
879,2,122,7,24,0.0,,,0.4,,,0.0,50.0,373.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,8.71141712047853e-08,,2.36842058858196e-08,,,,,,,,,,1.357682450066e-08,,,,5.4313428340937e-09,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
880,2,122,7,24,0.0,,,0.4,,,0.0,50.0,423.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,1.53345379547843e-07,,3.52784421328854e-08,,,,,,,,,,1.82452768783423e-08,,,,5.1627962373222e-09,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
881,2,122,7,24,0.0,,,0.4,,,0.0,50.0,473.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,3.0629884301443e-07,,6.66940053454309e-08,,,,,,,,,,2.71811100917542e-08,,,,4.907591729416e-09,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
895,2,122,7,24,0.0,,,0.4,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,4.52173698763042e-07,,8.69564805313542e-08,,,,,,,,,,3.70731612784597e-08,,,,4.93120309488097e-09,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
896,2,124,7,24,0.0,,,,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,3.23571760409864e-07,,2.19213375871983e-08,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
897,2,123,7,24,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,1.6598068709839e-07,,2.70297917164329e-09,,,,,,,,,,3.34443924929184e-10,,,,9.54866579911439e-12,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
898,2,125,7,24,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,,,,1.05788004899141e-07,,1.7119314635084e-09,,,,,,,,,,,,,,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
178,1,24,1,4,0.0,,74.2,,,,620.0,0.79,293.0,120000.0,100000.0,20000.0,,260,,2.0,,,,,2688.0,1.21228279089625e-08,,,,,,,,,172.0,7.75716666793732e-10,,,,,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
180,3,25,1,5,0.5,,72.2,,,,620.0,0.81,293.0,120000.0,100000.0,20000.0,,260,,2.0,,,,,3495.0,1.61990133578361e-08,,,,,,,,,410.0,1.90031344111954e-09,,,,,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
182,3,25,1,5,0.8,,72.5,,,,620.0,0.84,293.0,120000.0,100000.0,20000.0,,260,,2.0,,,,,3331.0,1.53750029276722e-08,,,,,,,,,278.0,1.28317346559378e-09,,,,,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
333,1,51,1,4,0.0,,90.0,,,685.0,4.03483,2.14,298.0,,,100000.0,,0,,,,,,,4187.005,1.55682411843471e-08,684.4334,2.54487975195222e-09,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
334,1,51,1,4,0.0,,90.0,,,685.0,38.06997,2.14,298.0,,,100000.0,,0,,,,,,,3931.191,1.46170662871753e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
335,1,51,1,4,0.0,,90.0,,,685.0,251.1886,2.14,298.0,,,100000.0,,0,,,,,,,3283.199,1.22076839860968e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
337,1,52,1,4,0.0,,110.0,,,759.0,63.94775,2.14,298.0,,,100000.0,,0,,,,,,,5860.396,1.78284201035877e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
338,1,52,1,4,0.0,,110.0,,,759.0,346.5819,2.14,298.0,,,100000.0,,0,,,,,,,3592.615,1.09294063900205e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
340,1,54,1,4,0.0,,110.9054,,,759.0,27.83942,2.14,298.0,,,100000.0,,0,,,,,,,5469.404,1.65031137234946e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
341,1,54,1,4,0.0,,110.9054,,,759.0,135.5311,2.14,298.0,,,100000.0,,0,,,,,,,4026.747,1.2150110629374e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
343,1,55,1,4,0.0,,132.508,,,759.0,29.37387,2.14,298.0,,,100000.0,,0,,,,,,,5275.877,1.33238932343245e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
344,1,55,1,4,0.0,,132.508,,,759.0,116.4178,2.14,298.0,,,100000.0,,0,,,,,,,4807.037,1.21398675066624e-08,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
408,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,480000.0,,0,,1.0,,,,,816.303667484013,4.96669669285297e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
409,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,970000.0,,0,,1.0,,,,,741.178685940364,4.50960821922953e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
410,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,1460000.0,,0,,1.0,,,,,751.976648524515,4.5753070604727e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
411,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,1940000.0,,0,,1.0,,,,,814.835048859605,4.95776106809044e-09,,,,,,,,,40.7286808660375,2.47808521043517e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
412,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,2430000.0,,0,,1.0,,,,,895.317445560763,5.44744605843302e-09,,,,,54.4444840061681,3.31260595080956e-10,,,39.9082538848393,2.42816736568502e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
413,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,2930000.0,,0,,1.0,,,,,999.260285209386,6.07987315449121e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
414,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,3400000.0,,0,,1.0,,,,,1104.18925436742,6.71830023115491e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
415,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,3900000.0,,0,,1.0,,,,,1206.46303645809,7.34057215704363e-09,,,,,,,,,36.6459933377746,2.22967923785056e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
416,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,4390000.0,,0,,1.0,,,,,1298.18409905158,7.89863739231585e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
417,1,27,5,7,0.0,,55.0,1.2,,,0.0,,308.0,,,4870000.0,,0,,1.0,,,,,1380.39411513563,8.39883386486452e-09,,,,,,,,,35.3976166582016,2.15372333353641e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
418,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,480000.0,,0,,1.0,,,,,942.910016241897,5.73701705121677e-09,,,,,70.410485785486,4.28403718889078e-10,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
419,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,970000.0,,0,,1.0,,,,,880.343475124281,5.35633882419141e-09,,,,,67.3975901815168,4.1007213564596e-10,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
420,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,1460000.0,,0,,1.0,,,,,896.278260622352,5.45329201647404e-09,,,,,65.717091685394,3.99847354531399e-10,,,66.5421133199118,4.04867094594949e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
421,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,1950000.0,,0,,1.0,,,,,952.935469618973,5.79801565763703e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
422,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,2450000.0,,0,,1.0,,,,,1023.84583365153,6.22946082266369e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
423,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,2920000.0,,0,,1.0,,,,,1108.63438934928,6.74534609422415e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
424,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,3420000.0,,0,,1.0,,,,,1191.78581528024,7.25127045623297e-09,,,,,60.5571095152746,3.68452093919007e-10,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
425,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,3900000.0,,0,,1.0,,,,,1272.82168787944,7.74432300085943e-09,,,,,,,,,57.678855574045,3.50939720888567e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
426,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,4390000.0,,0,,1.0,,,,,1349.88608133148,8.21321158159395e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
427,3,57,5,6,6.0,,55.0,1.2,,,0.0,,308.0,,,4870000.0,,0,,1.0,,,,,1419.6496821153,8.63767941029117e-09,,,,,,,,,54.8631185195156,3.33807723969114e-10,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
428,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,530000.0,,0,,1.0,,,,,1153.63853017922,7.01916811209366e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
429,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,1050000.0,,0,,1.0,,,,,1066.24206927226,6.48741537025981e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
430,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,1510000.0,,0,,1.0,,,,,1041.47409222834,6.33671773827213e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
431,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,2020000.0,,0,,1.0,,,,,1045.79619783089,6.3630150446024e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
432,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,2470000.0,,0,,1.0,,,,,1093.2883721423,6.65197518833898e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
433,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,3000000.0,,0,,1.0,,,,,1183.12692528431,7.19858653232128e-09,,,,,133.409754759255,8.11714823969101e-10,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
434,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,3500000.0,,0,,1.0,,,,,1282.15259355065,7.80109571937649e-09,,,,,128.860342296399,7.8403449772074e-10,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
435,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,3970000.0,,0,,1.0,,,,,1395.76219205953,8.49233899031458e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
436,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,4460000.0,,0,,1.0,,,,,1496.07370981985,9.1026717664135e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
437,3,56,5,6,25.0,,55.0,1.2,,,0.0,,308.0,,,4950000.0,,0,,1.0,,,,,1587.5051254332,9.65897468117234e-09,,,,,,,,,,,,,,,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
532,1,58,1,10,0.0,,,,,,0.0,,298.0,500000.0,100000.0,400000.0,,0,,,,,,,57.3,,,,,,,,,,4.21323529411765,,,,,,permeability,table 3,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
533,3,60,1,12,5.0,,54.485,0.38,,,0.0,,298.0,500000.0,100000.0,400000.0,,0,,,,,,,88.09,5.41038581495355e-10,,,,,,,,,4.57372793354102,2.80913074504338e-11,,,,,permeability,table 3,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
534,3,61,1,12,10.0,,35.93,0.38,,,0.0,,298.0,500000.0,100000.0,400000.0,,0,,,,,,,116.11,1.08141151299707e-09,,,,,,,,,4.98754295532646,4.6452384578912e-11,,,,,permeability,table 3,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
535,3,62,1,12,15.0,,45.485,0.38,,,0.0,,298.0,500000.0,100000.0,400000.0,,0,,,,,,,124.19,9.13686081202879e-10,,,,,,,,,9.33759398496241,6.86982015942015e-11,,,,,permeability,table 3,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
540,1,58,1,10,0.0,,,,,,0.0,,298.0,300000.0,100000.0,200000.0,,0,,,,,,,45.8210645526613,,,,,,,,,,3.80246913580251,,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
541,3,60,1,12,5.0,,54.485,0.38,,,0.0,,298.0,300000.0,100000.0,200000.0,,0,,,,,,,53.1143827859569,3.26222389823084e-10,,,,,,,,,4.07182940516277,2.50087047957809e-11,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
542,3,61,1,12,10.0,,35.93,0.38,,,0.0,,298.0,300000.0,100000.0,200000.0,,0,,,,,,,71.6647791619478,6.67462899510146e-10,,,,,,,,,6.99887766554436,6.51853146634893e-11,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
543,3,62,1,12,15.0,,45.485,0.38,,,0.0,,298.0,300000.0,100000.0,200000.0,,0,,,,,,,75.9456398640996,5.58744456654113e-10,,,,,,,,,8.93827160493829,6.5760321728344e-11,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
548,1,58,1,10,0.0,,,,,,0.0,,298.0,700000.0,100000.0,600000.0,,0,,,,,,,80.7021517553794,,,,,,,,,,4.26936026936031,,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
549,3,60,1,12,5.0,,54.485,0.38,,,0.0,,298.0,700000.0,100000.0,600000.0,,0,,,,,,,97.5084937712344,5.98885879824468e-10,,,,,,,,,6.26262626262629,3.84643254576784e-11,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
550,3,61,1,12,10.0,,35.93,0.38,,,0.0,,298.0,700000.0,100000.0,600000.0,,0,,,,,,,129.377123442808,1.20497726991212e-09,,,,,,,,,6.2446689113356,5.81608548408682e-11,,,,,permeability,fig 13a,EBADI R et al 2021,https://doi.org/10.1016/j.jngse.2021.103947
