,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
811,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,600000.0,100000.0,500000.0,600.0,0,,,289.0,3040.04154100789,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
812,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,323.0,600000.0,100000.0,500000.0,600.0,0,,,289.0,3143.18205627139,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
813,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,353.0,600000.0,100000.0,500000.0,600.0,0,,,289.0,3213.87925404572,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
814,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,400000.0,100000.0,300000.0,600.0,0,,,289.0,3015.95175359501,permeability,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
821,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,300000.0,100000.0,200000.0,600.0,0,,,289.0,3007.04840971593,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
822,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,500000.0,100000.0,400000.0,600.0,0,,,289.0,3103.05667542417,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
823,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,700000.0,100000.0,600000.0,600.0,0,,,289.0,3469.92825022807,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
842,zeolite,M1,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.85,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,365.76558216,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
843,zeolite,GO size of 20-30,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,642.77922159,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
844,zeolite,GO size of 3-5,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.8,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1030.35925432,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
848,zeolite,M3,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.476,,100.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,4303.124496,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
849,zeolite,M4,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.5,0.372,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1225.195169,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
850,zeolite,M5,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.372,,87.99999999999994,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1965.99000411,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
854,zeolite,ZnEG Content X=40,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.7,0.372,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1347.09030424156,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
855,zeolite,ZnEG Content X=80,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.8,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,583.314027332928,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
856,zeolite,ZnEG Content X=100,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,612.379359844075,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
857,zeolite,ZnEG Content X=150,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.0,0.372,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1152.42531139912,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
862,zeolite,reaction time = 0h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.372,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,1684.70179542601,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
863,zeolite,reaction time = 2h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,903.119662192159,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
864,zeolite,reaction time = 4h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,681.921211882415,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
865,zeolite,reaction time = 12h,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.9,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,717.145940900762,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
870,zeolite,filtration time = 3s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,0.5,1.085,,624.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,260.364490829804,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
871,zeolite,filtration time = 10s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,1.5,1.085,,624.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,253.394380309016,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
872,zeolite,filtration time = 15s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.0,1.085,,624.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,214.476667092492,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
873,zeolite,filtration time = 20s,alfa-alumina hollow fiber,ZIF-8/GO,0.0,,2.5,0.58,,347.0,0.0,,298.0,,,100000.0,,340,50.0,,289.0,526.49060523011,permeance, fig 8,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
879,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,373.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
880,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,423.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
881,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,473.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 3,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
895,zeolite,unmodified HybSi,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.4,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
896,zeolite,HybSi CVI for 4h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
897,zeolite,HybSi CVI for 8h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
898,zeolite,HybSi CVI for 12h,alfa-alumina tubes,HybSi by Pervatech BV,0.0,,,0.55,,,0.0,50.0,523.0,600000.0,100000.0,500000.0,1707.33333333333,0,,,289.0,,permeance,fig 4,KOUTSONIKOLAS DE et al 2021,https://doi.org/10.1016/j.seppur.2021.118432
912,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,2623.54822362934,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
913,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,2875.02331781974,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
914,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,3214.64764750309,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
915,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,3676.94745972611,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
916,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,100.0,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,4642.91205954108,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
917,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,100.0,0.0,,298.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,5070.41270681934,permeance,fig 5,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
930,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,2686.03830385576,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
931,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,2943.1132252052,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
932,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,3096.35657429833,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
933,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,3578.63117460869,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
934,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,100.0,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,4210.38371369875,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
935,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,100.0,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,4503.73973862389,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
951,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,848.173433034467,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
952,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,751.533506072439,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
953,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,646.431342423989,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
954,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,527.456475398785,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
955,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,375.77003004585,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
956,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,347.0,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,289.0,305.445972703393,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
20,polymer,PI-0.25,none,polyimides,0.0,,50.0,0.37999999999999995,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,191.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
21,polymer,PI-0.50,none,polyimides,0.0,,50.0,0.37999999999999995,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,121.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
22,polymer,PI-0.75,none,polyimides,0.0,,50.0,0.37999999999999995,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,66.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
23,polymer,PI-1.00,none,polyimides,0.0,,50.0,0.37999999999999995,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,25.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
24,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,0.37999999999999995,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,178.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
25,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,0.37999999999999995,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,44.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
26,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,0.37999999999999995,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,13.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
27,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,0.37999999999999995,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,330.0,2.2,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
105,zeolite,O3at473K,alfa-alumina tubes,SSZ-13,0.0,,1.2,0.38,0.27,624.0,0.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,330.0,23546.8531750975,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
178,polymer,Neat PIM-1,none,PIM-1,0.0,,74.2,0.37999999999999995,,722.0,620.0,0.79,293.0,120000.0,100000.0,20000.0,,260,,2.0,330.0,2688.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
180,MMM,BNNS/PIM-1,none,PIM-1/BNNS,0.5,,72.2,0.376,,722.0,620.0,0.81,293.0,120000.0,100000.0,20000.0,,260,,2.0,330.0,3495.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
182,MMM,BNNS/PIM-1,none,PIM-1/BNNS,0.8,,72.5,0.376,,722.0,620.0,0.84,293.0,120000.0,100000.0,20000.0,,260,,2.0,330.0,3331.0,permeability,table 1,AMEEN AW et al 2021,https://doi.org/10.1016/j.memsci.2021.119527
306,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,0.0,2.14,298.0,,,100000.0,,0,,,330.0,4970.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
307,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,0.0,2.14,298.0,,,100000.0,,0,,,330.0,13300.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
308,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.37999999999999995,,759.0,1200.0,2.14,298.0,,,100000.0,,0,,,330.0,2840.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
311,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,0.376,,759.0,2117.0,2.14,298.0,,,100000.0,,0,,,330.0,3317.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
333,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,4.03483,2.14,298.0,,,100000.0,,0,,,330.0,4187.005,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
334,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,38.06997,2.14,298.0,,,100000.0,,0,,,330.0,3931.191,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
335,polymer,untreated,none,PIM-1,0.0,,90.0,0.376,,685.0,251.1886,2.14,298.0,,,100000.0,,0,,,330.0,3283.199,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
336,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,7.024282,2.14,298.0,,,100000.0,,0,,,330.0,8427.223,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
337,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,63.94775,2.14,298.0,,,100000.0,,0,,,330.0,5860.396,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
338,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,346.5819,2.14,298.0,,,100000.0,,0,,,330.0,3592.615,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
339,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,2.796417,2.14,298.0,,,100000.0,,0,,,330.0,7080.521,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
340,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,27.83942,2.14,298.0,,,100000.0,,0,,,330.0,5469.404,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
341,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,135.5311,2.14,298.0,,,100000.0,,0,,,330.0,4026.747,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
342,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,3.998911,2.14,298.0,,,100000.0,,0,,,330.0,5949.026,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
343,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,29.37387,2.14,298.0,,,100000.0,,0,,,330.0,5275.877,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
344,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,116.4178,2.14,298.0,,,100000.0,,0,,,330.0,4807.037,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
408,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,480000.0,,0,,1.0,330.0,816.303667484013,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
409,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,970000.0,,0,,1.0,330.0,741.178685940364,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
410,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,1460000.0,,0,,1.0,330.0,751.976648524515,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
411,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,1940000.0,,0,,1.0,330.0,814.835048859605,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
412,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,2430000.0,,0,,1.0,330.0,895.317445560763,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
413,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,293.0,0.0,,308.0,,,2930000.0,,0,,1.0,330.0,999.260285209386,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
414,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,563.0,0.0,,308.0,,,3400000.0,,0,,1.0,330.0,1104.18925436742,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
415,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,563.0,0.0,,308.0,,,3900000.0,,0,,1.0,330.0,1206.46303645809,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
416,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,563.0,0.0,,308.0,,,4390000.0,,0,,1.0,330.0,1298.18409905158,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
417,polymer,6FDA-DAM,flat sheet,PI,0.0,,55.0,1.2,,759.0,0.0,,308.0,,,4870000.0,,0,,1.0,330.0,1380.39411513563,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
418,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,293.0,0.0,,308.0,,,480000.0,,0,,1.0,330.0,942.910016241897,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
419,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,293.0,0.0,,308.0,,,970000.0,,0,,1.0,330.0,880.343475124281,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
420,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,293.0,0.0,,308.0,,,1460000.0,,0,,1.0,330.0,896.278260622352,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
421,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,293.0,0.0,,308.0,,,1950000.0,,0,,1.0,330.0,952.935469618973,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
422,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,293.0,0.0,,308.0,,,2450000.0,,0,,1.0,330.0,1023.84583365153,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
423,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,563.0,0.0,,308.0,,,2920000.0,,0,,1.0,330.0,1108.63438934928,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
424,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,563.0,0.0,,308.0,,,3420000.0,,0,,1.0,330.0,1191.78581528024,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
425,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,563.0,0.0,,308.0,,,3900000.0,,0,,1.0,330.0,1272.82168787944,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
426,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,563.0,0.0,,308.0,,,4390000.0,,0,,1.0,330.0,1349.88608133148,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
427,MMM,6wt_Ni2(dobdc),flat sheet,MOF/PI,6.0,,55.0,1.2,,759.0,0.0,,308.0,,,4870000.0,,0,,1.0,330.0,1419.6496821153,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
428,MMM,25wt_Ni2(dobdc),flat sheet,MOF/PI,25.0,,55.0,1.2,,563.0,0.0,,308.0,,,530000.0,,0,,1.0,330.0,1153.63853017922,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
429,MMM,25wt_Ni2(dobdc),flat sheet,MOF/PI,25.0,,55.0,1.2,,293.0,0.0,,308.0,,,1050000.0,,0,,1.0,330.0,1066.24206927226,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
430,MMM,25wt_Ni2(dobdc),flat sheet,MOF/PI,25.0,,55.0,1.2,,293.0,0.0,,308.0,,,1510000.0,,0,,1.0,330.0,1041.47409222834,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
431,MMM,25wt_Ni2(dobdc),flat sheet,MOF/PI,25.0,,55.0,1.2,,293.0,0.0,,308.0,,,2020000.0,,0,,1.0,330.0,1045.79619783089,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
432,MMM,25wt_Ni2(dobdc),flat sheet,MOF/PI,25.0,,55.0,1.2,,293.0,0.0,,308.0,,,2470000.0,,0,,1.0,330.0,1093.2883721423,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
