,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
669,polymer,Matrimid5218,none,glassy,0.0,,50.0,1.085,,48.5,0.0,,308.0,,,500000.0,,0,,,260.0,23.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,5.0,,50.0,1.12,,48.5,0.0,,308.0,,,500000.0,,0,,,260.0,27.7,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,10.0,,50.0,1.12,,48.5,0.0,,308.0,,,500000.0,,0,,,260.0,35.2,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
672,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,308.0,,,500000.0,,0,,,260.0,49.7,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
673,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.12,,69.5,0.0,,308.0,,,500000.0,,0,,,260.0,55.9,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
674,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,5.0,,50.0,1.05,,48.5,0.0,,308.0,,,500000.0,,0,,,260.0,28.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
675,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,10.0,,50.0,1.05,,48.5,0.0,,308.0,,,500000.0,,0,,,260.0,38.4,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
676,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.05,,69.5,0.0,,308.0,,,500000.0,,0,,,260.0,47.3,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,308.0,,,500000.0,,0,,,260.0,51.8,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,35.0,,50.0,1.05,,69.5,0.0,,308.0,,,500000.0,,0,,,260.0,55.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
